Date,Symbols,Close,High,Low,Open,Volume
2020-05-22,PFE,34.2613,34.2905,33.7674,33.907,16387667.129508
2020-05-22,BNTX,50.5453,52.1103,50.2778,51.6546,950586.66090578
2020-05-22,MRNA,69.0,70.6,67.14,69.93,28912678.0
2020-05-26,GOOGL,71.0685,72.2555,70.9698,72.098,44589760.0
2020-05-26,PFE,34.2534,34.5999,34.2163,34.3989,24153872.81967
2020-05-26,BNTX,50.3967,52.0508,48.8713,51.9023,1525923.8116292
2020-05-26,MRNA,57.71,66.59,57.05,66.4,40332555.0
2020-05-27,GOOGL,71.014,71.2672,69.73,71.0,31683700.0
2020-05-27,PFE,34.1802,34.2993,33.7772,34.1802,26899522.570962
2020-05-27,BNTX,47.1379,49.743,45.8602,49.0595,1827578.2391629
2020-05-27,MRNA,52.18,53.34,46.1301,51.2,59514749.0
2020-05-28,GOOGL,70.912,72.223,69.9538,70.0,35195740.0
2020-05-28,PFE,34.8829,35.121,34.4632,34.5745,23390627.674597
2020-05-28,BNTX,46.4248,49.634,46.3089,47.8808,1121006.4856722
2020-05-28,MRNA,55.54,59.11,53.35,53.5,32308594.0
2020-05-29,GOOGL,71.676,71.8365,70.799,71.0215,37050440.0
2020-05-29,PFE,34.8926,35.1123,34.3354,34.9659,50507178.621071
2020-05-29,BNTX,49.0595,49.0595,46.712,47.7322,768042.66818056
2020-05-29,MRNA,61.5,61.65,56.56,57.45,38224872.0
2020-06-01,GOOGL,71.7435,72.079,71.114,71.285,25185080.0
2020-06-01,PFE,32.3983,32.6451,31.8966,32.4344,79905048.236586
2020-06-01,BNTX,51.8032,52.7046,49.0694,49.525,1288051.2506095
2020-06-01,MRNA,62.18,63.9,60.51,62.76,21257477.0
2020-06-02,GOOGL,72.1155,72.15,71.0805,71.75,23441380.0
2020-06-02,PFE,33.0384,33.0384,32.2061,32.4626,44331310.345936
2020-06-02,BNTX,51.8824,52.348,49.6241,51.4862,695221.94116725
2020-06-02,MRNA,59.87,59.95,55.3553,58.7,21701140.0
2020-06-03,GOOGL,71.9625,72.4505,71.581,72.135,27732800.0
2020-06-03,PFE,33.0384,33.2669,32.4724,33.1575,40241122.672822
2020-06-03,BNTX,50.674,51.7339,49.0694,51.3575,1393108.1907068
2020-06-03,MRNA,59.89,63.37,57.1,57.51,20811530.0
2020-06-04,GOOGL,70.715,72.066,70.3005,71.839,26982100.0
2020-06-04,PFE,32.9008,33.1575,32.6159,32.6257,28051406.309758
2020-06-04,BNTX,49.525,51.3674,49.2279,49.9708,629610.6973244
2020-06-04,MRNA,60.59,61.93,58.52,61.61,13503951.0
2020-06-05,GOOGL,72.001,72.315,70.3811,70.782,42647000.0
2020-06-05,PFE,32.8823,33.3391,32.7837,33.1116,38116175.100176
2020-06-05,BNTX,48.7128,49.7529,48.0393,49.3269,776422.26632015
2020-06-05,MRNA,58.19,59.19,56.63,58.49,14677935.0
2020-06-08,GOOGL,72.402,72.45,71.224,71.314,33877620.0
2020-06-08,PFE,33.4318,33.4405,32.5993,32.7076,31354411.16131
2020-06-08,BNTX,48.3166,48.7733,46.9696,48.7525,1153581.9210423
2020-06-08,MRNA,59.1,59.38,56.72,58.3,11249314.0
2020-06-09,GOOGL,72.604,73.39,72.118,72.262,33623100.0
2020-06-09,PFE,33.0833,33.4932,33.0473,33.3488,22507989.256487
2020-06-09,BNTX,47.336,47.6431,46.4248,47.3459,979659.8280896
2020-06-09,MRNA,58.23,59.405,57.73,58.55,7600166.0
2020-06-10,GOOGL,73.235,73.6385,72.7178,73.0755,31762320.0
2020-06-10,PFE,32.8179,33.303,32.7915,33.22,30692950.070044
2020-06-10,BNTX,46.9597,47.5431,46.1078,47.3459,921890.07084316
2020-06-10,MRNA,60.07,60.72,58.6,58.8,11074361.0
2020-06-11,GOOGL,70.095,72.5802,69.9205,72.0515,47144860.0
2020-06-11,PFE,30.4249,32.5993,30.4064,32.5251,65593896.922554
